Facility,Area,Ownership,Primary Use,Condition,Constr Date,Constr Date Num,FIR year renov,Renov Date Num,Constr Date Replaced,Constr Replaced pct,FIR Pct Renov,Occup Date,Occup Date Num,Constr Cost,GT Category,FIR Constr Type,RI-Aux-Other,ASF,Avg cost/sf
2,139914,1,2,REM26-50,1/1/1959 0:00,21551,1/1/1995 0:00,34700,34700,27205.07,43,1/1/1959 0:00,21551,2037000,ACADI&R,7,100-000-000,71356,175
3,25645,1,1,SATIS,1/1/1911 0:00,4019,1/1/1979 0:00,28856,28856,28856,100,1/1/1911 0:00,4019,1142000,CAMPSUPP,7,050-000-050,15982,160
6,63848,1,23,SATIS,1/1/1947 0:00,17168,1/1/1993 0:00,33970,33970,27249.2,60,1/1/1947 0:00,17168,614000,RESIDENT,7,001-099-000,40141,160
7,17423,1,22,SATIS,1/1/1925 0:00,9133,1/1/1993 0:00,33970,33970,24035.2,60,1/1/1925 0:00,9133,93000,RESIDENT,7,001-099-000,10985,130
10,23933,1,22,SATIS,1/1/1939 0:00,14246,1/1/1999 0:00,36161,36161,31778,80,1/1/1939 0:00,14246,163000,RESIDENT,7,001-099-000,14697,130
11,25558,1,22,SATIS,1/1/1926 0:00,9498,1/1/1992 0:00,33604,33604,33604,100,1/1/1926 0:00,9498,534000,RESIDENT,7,001-099-000,13240,130
12,19986,1,8,SATIS,1/1/1928 0:00,10228,1/1/2001 0:00,36892,36892,26226.4,60,1/1/1928 0:00,10228,418000,STUDSUPP,7,000-100-000,14280,160
13,23117,1,22,SATIS,1/1/1931 0:00,11324,1/1/1995 0:00,34700,34700,25349.6,60,1/1/1931 0:00,11324,128000,RESIDENT,7,001-099-000,13832,130
14,30526,1,22,SATIS,1/1/1939 0:00,14246,1/1/1998 0:00,35796,35796,31486,80,1/1/1939 0:00,14246,183000,RESIDENT,7,001-099-000,19616,130
15,59986,1,23,SATIS,1/1/1947 0:00,17168,1/1/2014 0:00,41640,41640,41640,100,1/1/1947 0:00,17168,481000,RESIDENT,7,001-099-000,29971,130
16,70496,1,23,SATIS,1/1/1947 0:00,17168,8/1/2015 0:00,42217,42217,42217,100,1/1/1947 0:00,17168,607000,RESIDENT,7,001-099-000,39124,130
016A,8591,1,1,SATIS,1/1/2015 0:00,42005,,,42005,42005,,1/1/2015 0:00,42005,5829843,RESIDENT,7,000-100-000,4391,130
17,347094,2,10,SATIS,1/1/1925 0:00,9133,1/1/2003 0:00,37622,37622,31924.2,80,1/1/1925 0:00,9133,965000,ATHASSOC,7,012-000-088,125124,190
18,72775,2,1,SATIS,1/1/1982 0:00,29952,,,29952,29952,0,1/1/1982 0:00,29952,5316000,ATHASSOC,7,000-000-100,45340,140
018A,39749,2,1,SATIS,1/1/1996 0:00,35065,,,35065,35065,0,1/1/1996 0:00,35065,7000000,ATHASSOC,7,000-000-100,28046,160
20,384,1,1,SATIS,1/1/1985 0:00,31048,,,31048,31048,0,1/1/1985 0:00,31048,120000,STUDSUPP,7,100-000-000,328,130
22,22294,1,4,SATIS,1/1/1942 0:00,15342,1/1/1994 0:00,34335,34335,34335,100,1/1/1942 0:00,15342,333000,ACADI&R,7,100-000-000,11807,250
022A,4152,1,4,SATIS,1/1/1994 0:00,34335,,,34335,34335,0,1/1/1994 0:00,34335,3000,ACADI&R,7,100-000-000,2402,250
023A,2375,1,1,SATIS,1/1/1927 0:00,9863,,,9863,9863,0,1/1/1927 0:00,9863,10000,CAMPSUPP,4,100-000-000,1975,140
24,38306,1,2,REM26-50,1/1/1923 0:00,8402,,,8402,8402,0,1/1/1923 0:00,8402,367000,ACADI&R,7,100-000-000,23027,190
25,10310,1,1,SATIS,1/1/1910 0:00,3654,12/1/2014 0:00,41974,41974,41974,100,1/1/1910 0:00,3654,69000,ACADSUPP,8,100-000-000,4102,160
26,34372,1,6,REM>51,1/1/1914 0:00,5115,1/1/1973 0:00,26665,26665,26665,100,1/1/1914 0:00,5115,3075000,CAMPSUPP,7,100-000-000,1251,550
029A,18445,1,1,SATIS,1/1/1906 0:00,2193,1/1/1991 0:00,33239,33239,33239,100,1/1/1906 0:00,2193,75000,CAMPSUPP,8,100-000-000,13545,160
029B,16366,1,1,SATIS,1/1/1925 0:00,9133,1/1/1991 0:00,33239,33239,33239,100,1/1/1925 0:00,9133,116000,CAMPSUPP,7,100-000-000,10080,160
029C,7720,1,1,SATIS,1/1/1991 0:00,33239,,,33239,33239,0,1/1/1991 0:00,33239,116000,CAMPSUPP,7,100-000-000,795,160
30,33107,1,1,SATIS,1/1/1898 0:00,1,1/1/1985 0:00,31048,31048,31048,100,1/1/1898 12:00:00 AM,1,179000,ACADSUPP,8,100-000-000,20318,160
31,48666,1,1,SATIS,1/1/1992 0:00,33604,,,33604,33604,0,1/1/1992 0:00,33604,6000000,STUDSUPP,7,100-000-000,26362,160
32,7591,1,1,SATIS,1/1/1988 0:00,32143,1/1/2019 0:00,43466,43466,43466,100,1/1/1988 0:00,32143,548000,ATHASSOC,7,000-000-100,5445,140
33,111907,1,1,REM<26,1/1/1924 0:00,8767,,,8767,8767,0,1/1/1979 0:00,28856,800000,CAMPSUPP,7,100-000-000,66431,120
033A,34953,1,9,REM26-50,1/1/1924 0:00,8767,,,8767,8767,0,1/1/1979 0:00,28856,300000,ATHASSOC,7,032-000-068,27045,140
033B,6478,1,1,SATIS,1/1/1924 0:00,8767,1/1/2011 0:00,40544,40544,40544,100,1/1/1979 0:00,28856,100000,ATHASSOC,4,000-000-100,5207,140
033C,834,1,15,SATIS,1/1/1980 0:00,29221,,,29221,29221,,1/1/1980 0:00,29221,10000,CAMPSUPP,6,100-000-000,744,35
35,48713,1,1,SATIS,1/1/1888 12:00:00 AM,1,1/1/2017 0:00,42736,42736,42736,70,1/1/1888 12:00:00 AM,1,43250,ACADSUPP,8,100-000-000,24585,160
36,10231,1,1,SATIS,1/1/1906 0:00,2193,1/1/2007 0:00,39083,39083,18793.5,45,1/1/1906 0:00,2193,170000,ACADSUPP,8,100-000-000,6816,160
38,25855,1,1,REM<26,1/1/1901 0:00,367,1/1/1987 0:00,31778,31778,23925.25,75,1/1/1901 0:00,367,154000,ACADSUPP,8,100-000-000,15765,160
39,31154,1,2,SATIS,1/1/1900 0:00,1,8/1/2005 0:00,38565,38565,38565,100,1/1/1900 0:00,1,142000,ACADI&R,8,100-000-000,11707,190
40,24442,1,4,SATIS,1/1/1930 0:00,10959,1/1/1995 0:00,34700,34700,34700,100,1/1/1930 0:00,10959,162000,ACADI&R,7,100-000-000,14293,190
41,37818,1,4,REM>51,1/1/1938 0:00,13881,,,13881,13881,0,1/1/1938 0:00,13881,314000,ACADI&R,7,100-000-000,24224,190
45,77867,1,4,SATIS,1/1/1920 0:00,7306,1/1/2003 0:00,37622,37622,37622,100,1/1/1920 0:00,7306,491000,ACADI&R,7,100-000-000,40022,190
46,10472,1,1,SATIS,1/1/1981 0:00,29587,1/1/2009 0:00,39814,39814,34700.5,50,1/1/1981 0:00,29587,615000,CAMPSUPP,6,100-000-000,8756,140
47,120422,1,1,SATIS,1/1/1987 0:00,31778,,,31778,31778,0,1/1/1988 0:00,32143,9500000,CAMPSUPP,7,060-020-020,68364,140
50,118217,1,4,SATIS,1/1/1989 0:00,32509,,,32509,32509,0,1/1/1989 0:00,32509,10000000,ACADI&R,7,100-000-000,82734,250
51,17910,1,2,SATIS,1/1/1939 0:00,14246,1/1/2010 0:00,40179,40179,40179,100,1/1/1939 0:00,14246,99000,ACADI&R,7,100-000-000,12827,175
051A,18346,1,2,SATIS,1/1/1951 0:00,18629,1/1/2010 0:00,40179,40179,40179,100,1/1/1951 0:00,18629,393000,ACADI&R,7,100-000-000,10937,175
051B,6782,1,1,REM>51,1/1/1947 0:00,17168,,,17168,17168,0,1/1/1947 0:00,17168,131000,CAMPSUPP,7,100-000-000,4404,140
051C,7063,1,1,REM26-50,1/1/1955 0:00,20090,,,20090,20090,0,1/1/1955 0:00,20090,202000,CAMPSUPP,7,100-000-000,4862,140
051D,41522,1,1,REM<26,1/1/1973 0:00,26665,,,26665,26665,0,1/1/1973 0:00,26665,1830000,CAMPSUPP,7,100-000-000,25903,160
051F,4388,1,6,SATIS,1/1/1986 0:00,31413,,,31413,31413,0,1/1/1986 0:00,31413,1300000,CAMPSUPP,7,100-000-000,,550
52,139558,1,23,SATIS,1/1/1992 0:00,33604,1/1/1998 0:00,35796,35796,34152,25,1/1/1993 0:00,33970,7800000,RESIDENT,7,001-099-000,82186,160
55,40537,1,2,SATIS,1/1/1983 0:00,30317,1/1/2017 0:00,42736,42736,33421.75,25,1/1/1983 0:00,30317,1997000,ACADI&R,7,100-000-000,22765,175
56,54585,1,2,SATIS,1/1/1983 0:00,30317,,,30317,30317,0,1/1/1983 0:00,30317,2652000,ACADI&R,7,100-000-000,34767,175
57,52687,1,4,SATIS,1/1/1983 0:00,30317,,,30317,30317,0,1/1/1983 0:00,30317,2424000,ACADI&R,7,100-000-000,32615,180
58,33434,1,2,SATIS,1/1/1939 0:00,14246,1/1/2008 0:00,39448,39448,39448,100,1/1/1939 0:00,14246,265000,ACADI&R,7,100-000-000,17198,190
59,12597,1,2,SATIS,1/1/1924 0:00,8767,1/1/2012 0:00,40909,40909,40909,100,1/1/1924 0:00,8767,452000,ACADI&R,7,100-000-000,6653,190
060A,11181,1,2,SATIS,1/1/1955 0:00,20090,1/1/2015 0:00,42005,42005,42005,100,1/1/1996 0:00,35065,1000,ACADI&R,7,100-000-000,7483,175
62,252,1,6,SATIS,1/1/1948 0:00,17533,,,17533,17533,0,1/1/1948 0:00,17533,1000,CAMPSUPP,7,100-000-000,,550
64,191511,1,23,SATIS,1/1/1992 0:00,33604,1/1/2001 0:00,36892,36892,34426,25,1/1/1993 0:00,33970,12400000,RESIDENT,7,001-099-000,99937,160
65,211922,1,23,SATIS,1/1/1995 0:00,34700,,,34700,34700,0,1/1/1995 0:00,34700,19197000,RESIDENT,7,001-099-000,115579,160
66,15650,1,4,REM>51,1/1/1959 0:00,21551,,,21551,21551,0,1/1/1959 0:00,21551,550000,ACADI&R,7,100-000-000,8274,215
066A,45056,1,4,REM>51,1/1/1968 0:00,24838,,,24838,24838,0,1/1/1968 0:00,24838,1065000,ACADI&R,7,100-000-000,27276,215
67,9752,1,1,SATIS,1/1/1948 0:00,17533,,,17533,17533,0,1/1/1948 0:00,17533,6000,CAMPSUPP,7,100-000-000,7183,140
067A,6943,1,1,SATIS,1/1/1989 0:00,32509,,,32509,32509,0,1/1/1990 0:00,32874,300000,CAMPSUPP,7,100-000-000,5994,140
71,9637,1,21,SATIS,1/1/1949 0:00,17899,,,17899,17899,0,1/1/1949 0:00,17899,192000,RESIDENT,4,100-000-000,8360,90
071A,1601,1,21,SATIS,1/1/1985 0:00,31048,,,31048,31048,0,1/1/1985 0:00,31048,50000,RESIDENT,2,100-000-000,1415,75
72,1989,1,8,SATIS,1/1/1949 0:00,17899,,,17899,17899,0,1/1/1949 0:00,17899,64000,STUDSUPP,7,000-100-000,1856,160
73,203836,1,10,SATIS,1/1/1957 0:00,20821,1/1/2012 0:00,40909,40909,37293.16,82,1/1/1957 0:00,20821,3046000,ATHASSOC,7,050-000-050,113833,190
073A,12516,1,9,SATIS,1/1/1987 0:00,31778,,,31778,31778,0,1/1/1987 0:00,31778,800000,ATHASSOC,7,000-000-100,9179,140
073B,19825,1,9,SATIS,1/1/2009 0:00,39814,,,39814,39814,0,10/1/2009 0:00,40087,8500000,ATHASSOC,7,000-000-100,16669,170
74,8442,1,8,SATIS,1/1/1951 0:00,18629,3/18/2013 0:00,41351,41351,37942.7,85,1/1/1951 0:00,18629,220000,CAMPSUPP,7,044-056-000,6335,145
75,52724,1,2,SATIS,1/1/1980 0:00,29221,,,29221,29221,0,1/1/1980 0:00,29221,2497000,ACADI&R,7,100-000-000,35194,175
76,66026,1,2,REM<26,1/1/1952 0:00,18994,,,18994,18994,0,1/1/1952 0:00,18994,1171000,ACADI&R,7,100-000-000,35798,175
77,99832,1,7,REM26-50,1/1/1953 0:00,19360,,,19360,19360,0,1/1/1953 0:00,19360,1881000,ACADSUPP,7,100-000-000,64973,195
080A,888,1,10,SATIS,1/1/1987 0:00,31778,,,31778,31778,0,1/1/1987 0:00,31778,1000,ATHASSOC,7,000-000-100,297,160
81,136092,1,3,REM26-50,1/1/1967 0:00,24473,,,24473,24473,0,1/1/1967 0:00,24473,3350000,ACADI&R,7,100-000-000,79523,200
083C,9415,1,15,SATIS,1/1/1988 0:00,32143,,,32143,32143,0,1/1/1988 0:00,32143,155000,CAMPSUPP,6,100-000-000,8154,35
84,51706,1,4,SATIS,1/1/1967 0:00,24473,1/1/2000 0:00,36526,36526,36526,100,1/1/1967 0:00,24473,1040000,ACADI&R,7,100-000-000,29701,180
85,165607,1,4,REM26-50,1/1/1961 0:00,22282,,,22282,22282,0,1/1/1961 0:00,22282,3162000,ACADI&R,7,100-000-000,96159,215
86,151265,1,4,REM<26,1/1/1964 0:00,23377,,,23377,23377,0,1/1/1964 0:00,23377,2998000,ACADI&R,7,100-000-000,81891,215
90,26341,1,22,SATIS,1/1/1961 0:00,22282,1/1/1995 0:00,34700,34700,29732.8,60,1/1/1961 0:00,22282,378000,RESIDENT,7,001-099-000,16282,105
91,33995,1,22,SATIS,1/1/1961 0:00,22282,1/1/1993 0:00,33970,33970,31632.4,80,1/1/1961 0:00,22282,394000,RESIDENT,7,001-099-000,20971,105
92,20371,1,22,SATIS,1/1/1961 0:00,22282,1/1/1993 0:00,33970,33970,31632.4,80,1/1/1961 0:00,22282,403000,RESIDENT,7,001-099-000,13528,105
93,23775,1,22,SATIS,1/1/1961 0:00,22282,1/1/1991 0:00,33239,33239,31047.6,80,1/1/1961 0:00,22282,369000,RESIDENT,7,001-099-000,14636,105
94,24403,1,22,SATIS,1/1/1961 0:00,22282,1/1/1995 0:00,34700,34700,29732.8,60,1/1/1961 0:00,22282,356000,RESIDENT,7,001-099-000,15942,105
95,98420,1,4,SATIS,1/1/1988 0:00,32143,,,32143,32143,0,1/1/1989 0:00,32509,10200000,ACADI&R,7,100-000-000,47451,250
98,34411,1,4,REM<26,1/1/1967 0:00,24473,,,24473,24473,0,1/1/1967 0:00,24473,750000,ACADI&R,7,100-000-000,21567,180
